날짜,홈,어웨이,예측,확률,배당,결과,켈리 비율,진입,자본금 변화,날짜별 초기 잔액,잔액
10/24,Detroit Pistons,Indiana Pacers,Indiana Pacers,0.708,1.48,승,0.09966666667,99.66666667,47.84,1000.0,1047.84
10/24,Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,0.587,1.34,승,0.0,0.0,0.0,1000.0,1000.0
10/24,Miami Heat,Orlando Magic,Miami Heat,0.544,1.74,패,0.0,0.0,0.0,1000.0,1000.0
10/24,Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,0.529,2.48,패,0.1,100.0,-100.0,1000.0,900.0
10/24,Toronto Raptors,Cleveland Cavaliers,Cleveland Cavaliers,0.707,1.41,승,0.0,0.0,0.0,1000.0,900.0
10/24,Houston Rockets,Charlotte Hornets,Houston Rockets,0.752,1.33,패,0.0004848484848,0.4848484848,-0.4848484848,1000.0,899.5151515
10/24,New Orleans Pelicans,Chicago Bulls,New Orleans Pelicans,0.746,1.45,승,0.1,100.0,45.0,1000.0,944.5151515
10/24,Utah Jazz,Memphis Grizzlies,Utah Jazz,0.514,2.2,패,0.1,100.0,-100.0,1000.0,844.5151515
10/24,LA Clippers,Phoenix Suns,LA Clippers,0.611,2.72,패,0.1,100.0,-100.0,1000.0,744.5151515
10/24,Portland Trail Blazers,Golden State Warriors,Golden State Warriors,0.757,1.39,승,0.1,100.0,39.0,1000.0,783.5151515
10/25,Washington Wizards,Boston Celtics,Boston Celtics,0.747,1.13,승,0.0,0.0,0.0,783.5151515,783.5151515
10/25,Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,0.727,1.3,승,0.0,0.0,0.0,783.5151515,783.5151515
10/25,Denver Nuggets,Oklahoma City Thunder,Denver Nuggets,0.528,1.75,패,0.0,0.0,0.0,783.5151515,783.5151515
10/25,Sacramento Kings,Minnesota Timberwolves,Minnesota Timberwolves,0.571,1.85,승,0.06629411765,51.94244563,44.15107879,783.5151515,827.6662303
10/26,Toronto Raptors,Philadelphia 76ers,Philadelphia 76ers,0.708,1.57,패,0.1,82.76662303,-82.76662303,827.6662303,744.8996073
10/26,Orlando Magic,Brooklyn Nets,Orlando Magic,0.695,1.14,승,0.0,0.0,0.0,827.6662303,744.8996073
10/26,New York Knicks,Indiana Pacers,New York Knicks,0.634,1.47,승,0.0,0.0,0.0,827.6662303,744.8996073
10/26,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,0.81,1.19,승,0.0,0.0,0.0,827.6662303,744.8996073
10/27,Denver Nuggets,LA Clippers,Denver Nuggets,0.633,1.3,패,0.0,0.0,0.0,744.8996073,744.8996073
